nid,error,error_num
6101,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6101,"Member Stiles, Ezra (4616) appears in members but not creators",4
6300,"Member Workman, Benjamin (4286) is indicated by bib number but does not appear in creators",5
6300,"Member Workman, Benjamin (4286) appears in members but not creators",4
6718,"Member Nicola, Lewis (4521) is indicated by bib number but does not appear in creators",5
6718,"Member Nicola, Lewis (4521) appears in members but not creators",4
6735,"Member Franklin, Benjamin (4249) appears in members but is not accounted for in bib_number 260",2
6735,"Member Franklin, Benjamin (4249) appears in members but not creators",4
4788,"Member Maskelyne, Nevil (4370) is indicated by bib number but does not appear in creators",5
4788,"Member Maskelyne, Nevil (4370) appears in members but not creators",4
6905,"Member Galloway, Joseph (4612) is indicated by bib number but does not appear in creators",5
6905,"Member Galloway, Joseph (4612) appears in members but not creators",4
6275,"Member Griffiths, Samuel Powel (4255) is indicated by bib number but does not appear in creators",5
6275,"Member Griffiths, Samuel Powel (4255) appears in members but not creators",4
6276,"Member Griffiths, Samuel Powel (4255) is indicated by bib number but does not appear in creators",5
6276,"Member Griffiths, Samuel Powel (4255) appears in members but not creators",4
7016,"Member Clayton, John (4655) is indicated by bib number but does not appear in creators",5
7016,"Member Clayton, John (4655) appears in members but not creators",4
5496,"Member Lavoisier, Antoine L. (4360) is indicated by bib number but does not appear in creators",5
5496,"Member Lavoisier, Antoine L. (4360) appears in members but not creators",4
5548,"Member Herschel, William (4281) is indicated by bib number but does not appear in creators",5
5548,"Member Herschel, William (4281) appears in members but not creators",4
5539,"Member Herschel, William (4281) is indicated by bib number but does not appear in creators",5
5539,"Member Herschel, William (4281) appears in members but not creators",4
4781,"Member Maskelyne, Nevil (4370) is indicated by bib number but does not appear in creators",5
4781,"Member Maskelyne, Nevil (4370) appears in members but not creators",4
6386,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6386,"Member Stiles, Ezra (4616) appears in members but not creators",4
6099,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6099,"Member Stiles, Ezra (4616) appears in members but not creators",4
5665,"Member Priestley, Joseph (4278) is indicated by bib number but does not appear in creators",5
5665,"Member Priestley, Joseph (4278) appears in members but not creators",4
5324,"Member Smith, Samuel S. (4285) is indicated by bib number but does not appear in creators",5
5324,"Member Smith, Samuel S. (4285) appears in members but not creators",4
5334,"Member Smith, Samuel S. (4285) is indicated by bib number but does not appear in creators",5
5334,"Member Smith, Samuel S. (4285) appears in members but not creators",4
5114,"Member Raynall, Guillaume T. F. (4351) is indicated by bib number but does not appear in creators",5
5114,"Member Raynall, Guillaume T. F. (4351) appears in members but not creators",4
6309,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6309,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6311,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6311,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6312,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6312,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6313,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6313,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6314,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6314,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
6316,"Member Hermelin, Samuel G. (4271) is indicated by bib number but does not appear in creators",5
6316,"Member Hermelin, Samuel G. (4271) appears in members but not creators",4
5584,"Member Herschel, William (4281) is indicated by bib number but does not appear in creators",5
5584,"Member Herschel, William (4281) appears in members but not creators",4
6871,"Member Rittenhouse, David (4606) is indicated by bib number but does not appear in creators",5
6871,"Member Rittenhouse, David (4606) appears in members but not creators",4
6604,"Member Hopkinson, Francis (4580) is indicated by bib number but does not appear in creators",5
6604,"Member Hopkinson, Francis (4580) appears in members but not creators",4
6165,"Member Gage, Thomas (4416) is indicated by bib number but does not appear in creators",5
6165,"Member Gage, Thomas (4416) appears in members but not creators",4
6102,"Member Stiles, Ezra (4616) is indicated by bib number but does not appear in creators",5
6102,"Member Stiles, Ezra (4616) appears in members but not creators",4
6647,"Member Hopkinson, Francis (4580) appears in members but is not accounted for in bib_number 153",2
6966,"Member Hopkinson, Francis (4580) appears in members but is not accounted for in bib_number 39",2
6966,"Member Clymer, George (4695) is indicated by bib number but does not appear in creators",5
6966,"Member Clymer, George (4695) appears in members but not creators",4
6837,"Member Hopkinson, Francis (4580) appears in members but is not accounted for in bib_number 65",2
6837,"Member Smith, William (1727-1803), Provost (4609) is indicated by bib number but does not appear in creators",5
6837,"Member Smith, William (1727-1803), Provost (4609) appears in members but not creators",4
6462,"Member White, William (4522) is indicated by bib number but does not appear in creators",5
6462,"Member White, William (4522) appears in members but not creators",4
5889,"Member Jefferson, Thomas (4311) is indicated by bib number but does not appear in creators",5
5889,"Member Jefferson, Thomas (4311) appears in members but not creators",4
6248,"Member Dickinson, John (4596) is indicated by bib number but does not appear in creators",5
6248,"Member Dickinson, John (4596) appears in members but not creators",4
5000,"Member Smith, William (1727-1803), Provost (4609) appears in members but is not accounted for in bib_number 328",2
6370,"Member Winthrop, John (4617) is indicated by bib number but does not appear in creators",5
6370,"Member Winthrop, John (4617) appears in members but not creators",4
4784,"Member Maskelyne, Nevil (4370) is indicated by bib number but does not appear in creators",5
4784,"Member Maskelyne, Nevil (4370) appears in members but not creators",4
6767,"Member Cirillo, Domenico Maria Leone (4509) is indicated by bib number but does not appear in creators",5
6767,"Member Cirillo, Domenico Maria Leone (4509) appears in members but not creators",4
