nid,nid_old,heading,changed_from
541,541,"Chase, Samuel, 1741-1811",
542,542,Chatham (Ship),
543,543,Chemical affinity--Early works to 1800,
555,555|556,Chemistry,
544,544|545|546|553|554,Chemistry--Early works to 1800,
547,547,Chemistry--History--Early works to 1800,
548,548,Chemistry--Nomenclature--Early works to 1800,
549,549,"Chemistry--Outlines, syllabi, etc",
550,550,"Chemistry--Outlines, syllabi, etc.--Early works to 1800",
551,551,Chemistry--Study and teaching,
552,552,Chemistry--To 1800,
557,557,Cherokee--Treaties,Cherokee Indians--Treaties
558,558,"Chesapeake-Leopard Affair, 1807",
559,559,Chess,
561,561,Child rearing,
560,560,Child rearing--France--Early works to 1800,
564,564,Children's poetry,
565,565,Children's songs,
563,563,Children--Religious life,
562,562,Child welfare,
8114,8114,Chimneys,
566,566,Chimneys--Early works to 1800,
567,567,Chorales,
568,568,Christian education of children,
570,570,Christian ethics,
569,569,Christian ethics--Early works to 1800,
579,579|580,Christianity,
577,577,Christianity and law,
578,578,Christianity and politics--Early works to 1800,
576,576,Christianity--Early works to 1800,
571,571,Christian life,
572,572,"Christian poetry, English--18th century",
573,573,Christian sects,
574,574,Christian stewardship,
575,575,Christian union--Sermons,
581,581,Christmas music,
585,585,"Chronology, Historical",
583,583,"Chronology, Historical--Charts, diagrams, etc",
584,584,"Chronology, Historical--Early works to 1800",
582,582,Chronology--Early works to 1800,
586,586,Chronometers--Early works to 1800,
593,593,Church and state,
588,588,Church and state--Catholic Church,
589,589,Church and state--Early works to 1800,
590,590,Church and state--France,
591,591,Church and state--Great Britain--History--18th century,
592,592,Church and state--Spain--History--Sources,
7861,7861,Church architecture,
597,597,"Church dedication, Pennsylvania, York",
598,598,Church dedication--Massachusetts--Boston.  Baptists,
594,594,Church dedication--New York (State)--New York,
595,595,Church dedication--Pennsylvania--Philadelphia,
596,596,Church dedication sermons,
587,587,Church--Early works to 1800,
600,600,Church finance,
599,599,Church finance--Spain--Early works to 1800,
601,601,Church growth--Sermons,
603,603,Church history,
602,602,"Church history--Primitive and early church, ca. 30-600",
604,604,Church lands,
605,605,Church membership,
606,606,Church music,
607,607,"Church of England--Clergy--Salaries, etc",
608,608,"Church of England--United States--Clergy--Salaries, etc.--Early works to 1800",
609,609,"Church of England--United States--Clergy--Salaries, pensions, etc",
610,610,Church of England--Virginia,
612,612,Church work,
611,611,Church work with the poor--Pennsylvania--Philadelphia,
613,613,Cider,
614,614,Ciphers--Early works to 1800,
615,615,Citizenship,
618,618,Civilization,
617,617,Civilization--History,
616,616,Civil war--France--Early works to 1800,
619,619,Claims,
620,620,Classification,
631,631|632,Clergy,
621,621,"Clergy--Appointment, call, and election",
622,622,Clergy--Biography,
623,623,Clergy--France--Early works to 1800,
624,624,Clergy--New Hampshire--Manchester--Sermons,
